init_state,mean_x,mean_y,mean_z,angle,fidelity
[0.99660344+0.j        0.00696638+0.0820552j],-0.106689453125,0.203857421875,0.732421875,0.18686266299670415,0.9365756704615776
[ 0.99909615+0.j         -0.00179099+0.04246981j],-0.164,0.156,0.706,0.2557874913411396,0.9266267273918359
[ 0.73717727+0.j         -0.29248374+0.60911652j],-0.474,0.374,-0.024,0.4720040716862114,0.8769800320359955
[0.44505978+0.j         0.75701088+0.47838929j],0.31,0.374,-0.452,0.26088848989450125,0.9058373777696823
[0.87358891+0.j         0.03464551+0.48542982j],-0.332,0.572,0.298,0.540827836780746,0.9005212270746441
[ 0.73211998+0.j         -0.08086237+0.67635908j],-0.378,0.534,0.014,0.49896595807038935,0.8873026212715807
[0.76294138+0.j         0.63264339+0.13297665j],0.494,0.47,0.126,0.5450624445302054,0.8924483232411428
[ 0.98186505+0.j         -0.03178568+0.18689754j],-0.344,0.268,0.662,0.38649078255668934,0.9311945093073098
[0.95156405+0.j         0.30691298-0.01817356j],0.38,0.12,0.59,0.2104220450733132,0.9209411191522818
[ 0.64555302+0.j         -0.50796397+0.57029282j],-0.534,0.204,-0.188,0.4872529295939937,0.875136920728226
[0.26022333+0.j         0.90016625+0.34926285j],0.312,0.23,-0.562,0.16112889747792566,0.9148396436193508
[ 0.04683003+0.j         -0.97933311-0.19675773j],-0.116,0.076,-0.682,0.1489763229307697,0.9187622526742368
[ 9.80265092e-01+0.j         -7.67249637e-04-0.19768601j],0.154,-0.346,0.644,0.22941532165718279,0.9293900884241223
[ 0.95589438+0.j         -0.00978663-0.29354752j],0.19,-0.368,0.496,0.319898681559916,0.8981623524237929
[0.32139063+0.j         0.94394292+0.07536466j],0.398,0.246,-0.536,0.30489310657524427,0.9161533847096177
[ 0.89937016+0.j         -0.25241944+0.35695621j],-0.558,0.164,0.308,0.5843658081751897,0.8800324625717291
[0.47933174+0.j         0.78868858+0.38498234j],0.37,0.386,-0.426,0.30322063671449145,0.9089714012644754
[ 0.55589078+0.j         -0.18603362-0.81017093j],0.038,-0.49,-0.356,0.35281050468328734,0.8858559025828605
[0.95843408+0.j         0.2472539 +0.14237144j],0.178,0.31,0.538,0.28775115788143235,0.8998261168531615
[ 0.6825808 +0.j         -0.21658354+0.69797924j],-0.496,0.404,-0.182,0.6129699709669088,0.8786389068104676
[ 0.84996328+0.j         -0.01626566-0.52659078j],0.238,-0.57,0.152,0.4554172808260149,0.8863646660329167
[0.70008756+0.j         0.06253194-0.71131369j],0.298,-0.564,-0.124,0.4314976364844703,0.8917019489330367
[ 0.77210323+0.j        -0.55057782+0.3173652j],-0.632,-0.002,0.058,0.5302669944524542,0.8796313315110574
[ 0.85196092+0.j         -0.22568419-0.47247142j],-0.014,-0.522,0.222,0.3849479808913556,0.8734683342228379
[ 0.95598073+0.j        -0.05790286-0.2876597j],0.166,-0.366,0.556,0.3553554512436142,0.9064149784656381
[0.8638634 +0.j         0.50249547+0.03518992j],0.504,0.266,0.262,0.3787620757737033,0.8895990074657194
[ 0.82205614+0.j        -0.24754584+0.5127814j],-0.528,0.262,0.05,0.6975976135759101,0.8524536361225711
[0.3422557 +0.j        0.76313948+0.5481598j],0.142,0.3,-0.508,0.3214747876197023,0.8876178599914127
[0.91571537+0.j         0.22676945+0.33172425j],0.058,0.486,0.454,0.3516492514174642,0.9018694891932332
[0.49514036+0.j         0.45858481+0.73792682j],0.048,0.552,-0.338,0.40142547883290297,0.8937124480867183
[0.46463015+0.j         0.36549126-0.80655748j],0.388,-0.296,-0.382,0.40051658651232097,0.8861992712761392
[0.99758972+0.j         0.02171503-0.06590295j],0.088,-0.122,0.7,0.08951893071949922,0.9255035271530937
[ 0.88075016+0.j         -0.38005827-0.28255063j],-0.332,-0.45,0.296,0.27199949834870385,0.8970681597387776
[ 0.07497268+0.j         -0.93785487+0.33883232j],-0.102,0.138,-0.742,0.13146098686874705,0.9367533845092547
[0.43936976+0.j         0.79617509-0.41600413j],0.534,-0.02,-0.438,0.34680228975524063,0.9082416457327815
[0.72148335+0.j         0.1581168 -0.67413711j],0.368,-0.546,-0.066,0.3886872803806659,0.8978798302656058
[ 0.86880645+0.j         -0.48592178+0.09515972j],-0.534,-0.148,0.282,0.4103995772268784,0.886038617104692
[0.02236856+0.j         0.75284528-0.65781733j],0.042,-0.06,-0.552,0.08911491858336103,0.8816541010548494
[0.50646196+0.j         0.85282652-0.12721325j],0.58,0.142,-0.358,0.3369324590635377,0.9102410829103981
[0.28327238+0.j         0.94111692+0.18454186j],0.37,0.27,-0.578,0.2701039707066835,0.9248637850300316
[ 0.1542862+0.j         -0.7860778-0.59856283j],-0.05,-0.096,-0.684,0.1802244161415512,0.9168683397863189
[0.99278167+0.j        0.06629793-0.0999457j],0.228,-0.104,0.732,0.17719464059710854,0.9385076677382193
[0.04671676+0.j         0.96752324+0.24842769j],0.14,0.058,-0.64,0.14057068173869652,0.9086277007056507
