init_state,mean_x,mean_y,mean_z,angle,fidelity
[0.99660344+0.j        0.00696638+0.0820552j],-0.116943359375,0.1728515625,0.748046875,0.17650034497608383,0.9392943009319036
[ 0.99909615+0.j         -0.00179099+0.04246981j],-0.158,0.1,0.78,0.19923407920949696,0.9450484041820816
[ 0.73717727+0.j         -0.29248374+0.60911652j],-0.516,0.376,-0.022,0.5076688534547211,0.882686020212803
[0.44505978+0.j         0.75701088+0.47838929j],0.37,0.43,-0.456,0.23529928445643356,0.9240600688308008
[0.87358891+0.j         0.03464551+0.48542982j],-0.284,0.504,0.326,0.5028286709056069,0.8893386095695671
[ 0.73211998+0.j         -0.08086237+0.67635908j],-0.366,0.474,0.028,0.538146867659933,0.8702809693648303
[0.76294138+0.j         0.63264339+0.13297665j],0.494,0.372,0.074,0.4361551091143371,0.8844509260354646
[ 0.98186505+0.j         -0.03178568+0.18689754j],-0.284,0.282,0.664,0.31353127240053175,0.9320664630009138
[0.95156405+0.j         0.30691298-0.01817356j],0.478,0.096,0.526,0.2032590330258909,0.9226146978580866
[ 0.64555302+0.j         -0.50796397+0.57029282j],-0.562,0.27,-0.194,0.40680473460434413,0.894340021182876
[0.26022333+0.j         0.90016625+0.34926285j],0.274,0.222,-0.626,0.15448759556309943,0.9246455350805869
[ 0.04683003+0.j         -0.97933311-0.19675773j],-0.026,-0.004,-0.7,0.05619727985441018,0.9217885536213873
[ 9.80265092e-01+0.j         -7.67249637e-04-0.19768601j],0.192,-0.292,0.53,0.32576332846380385,0.8948341423915143
[ 0.95589438+0.j         -0.00978663-0.29354752j],0.188,-0.422,0.55,0.2893755239315334,0.9188081325361296
[0.32139063+0.j         0.94394292+0.07536466j],0.358,0.232,-0.592,0.2950693351966029,0.921454610081748
[ 0.89937016+0.j         -0.25241944+0.35695621j],-0.496,0.17,0.328,0.5191710639258181,0.8766330679661369
[0.47933174+0.j         0.78868858+0.38498234j],0.336,0.386,-0.398,0.3380173464511141,0.897668524577669
[ 0.55589078+0.j         -0.18603362-0.81017093j],0.04,-0.516,-0.382,0.3582505505409121,0.8951027891641337
[0.95843408+0.j         0.2472539 +0.14237144j],0.138,0.288,0.536,0.3175211666405774,0.8923949833286662
[ 0.6825808 +0.j         -0.21658354+0.69797924j],-0.464,0.392,-0.162,0.591768551576101,0.8722825163461633
[ 0.84996328+0.j         -0.01626566-0.52659078j],0.208,-0.498,0.246,0.38597061186253734,0.8801933009387148
[0.70008756+0.j         0.06253194-0.71131369j],0.31,-0.526,-0.128,0.4792478869938022,0.881347773878319
[ 0.77210323+0.j        -0.55057782+0.3173652j],-0.68,0.012,0.096,0.5008657040476981,0.8951202209752049
[ 0.85196092+0.j         -0.22568419-0.47247142j],0.04,-0.56,0.198,0.49138612937504417,0.873178139934807
[ 0.95598073+0.j        -0.05790286-0.2876597j],0.196,-0.382,0.56,0.39258147826648315,0.9088360926801914
[0.8638634 +0.j         0.50249547+0.03518992j],0.43,0.234,0.164,0.4344924889624951,0.8568300116570662
[ 0.82205614+0.j        -0.24754584+0.5127814j],-0.564,0.314,0.108,0.6211527754865168,0.8752816281413919
[0.3422557 +0.j        0.76313948+0.5481598j],0.21,0.356,-0.55,0.2625060656119824,0.9122569132101132
[0.91571537+0.j         0.22676945+0.33172425j],0.048,0.488,0.458,0.3661235628888511,0.9018057891379666
[0.49514036+0.j         0.45858481+0.73792682j],0.146,0.52,-0.394,0.2539320846089437,0.9074981756687384
[0.46463015+0.j         0.36549126-0.80655748j],0.274,-0.296,-0.466,0.34638928863748975,0.8887383462475276
[0.99758972+0.j         0.02171503-0.06590295j],0.09,-0.156,0.722,0.11202909138206506,0.9325928798351926
[ 0.88075016+0.j         -0.38005827-0.28255063j],-0.222,-0.566,0.29,0.5027643157779295,0.8916968718460557
[ 0.07497268+0.j         -0.93785487+0.33883232j],-0.064,0.092,-0.71,0.09287786229404511,0.926199932006174
[0.43936976+0.j         0.79617509-0.41600413j],0.478,-0.038,-0.48,0.3248449304022386,0.906363802841584
[0.72148335+0.j         0.1581168 -0.67413711j],0.358,-0.502,-0.066,0.41567999664472616,0.8852382392119866
[ 0.86880645+0.j         -0.48592178+0.09515972j],-0.576,-0.13,0.298,0.369751020492684,0.8990889863042525
[0.02236856+0.j         0.75284528-0.65781733j],0.036,0.02,-0.672,0.0623751242992039,0.9143170767739659
[0.50646196+0.j         0.85282652-0.12721325j],0.552,0.144,-0.396,0.3550308849080658,0.908608250728652
[0.28327238+0.j         0.94111692+0.18454186j],0.364,0.226,-0.488,0.2610756827806367,0.9020505701874085
[ 0.1542862+0.j         -0.7860778-0.59856283j],-0.13,-0.146,-0.704,0.06732399792269272,0.9297803198928347
[0.99278167+0.j        0.06629793-0.0999457j],0.222,-0.122,0.632,0.2003787560133307,0.9130313350891186
[0.04671676+0.j         0.96752324+0.24842769j],0.158,0.076,-0.712,0.15087585160673186,0.9286924447309219
[0.59693046+0.j         0.31304609+0.73869897j],-0.002,0.488,-0.262,0.4237138960969078,0.8674407163575037
[0.10943566+0.j         0.52098964+0.84651854j],0.18,0.13,-0.698,0.13405375136785314,0.9289490949265928
[ 0.23134501+0.j        -0.96465554+0.1261712j],-0.318,-0.014,-0.61,0.0805788601234621,0.9181020323706292
[ 0.97539937+0.j        -0.0850669 -0.2033708j],0.084,-0.342,0.548,0.32891277733842667,0.8990224115546867
[ 0.44002615+0.j         -0.86806992+0.22985127j],-0.458,-0.054,-0.43,0.2996167248569246,0.8951113673950493
[0.66045186+0.j         0.20405474+0.72260985j],-0.166,0.568,-0.082,0.5545781152235465,0.8682959034437129
[ 0.96023866+0.j         -0.2697041 +0.07212081j],-0.338,-0.078,0.58,0.2556331398364272,0.9093554860412443
[0.99892864+0.j         0.00687452+0.04576363j],-0.044,0.156,0.748,0.13443021604720512,0.9376712800294004
