init_state,mean_x,mean_y,mean_z,angle,fidelity
[0.99660344+0.j        0.00696638+0.0820552j],-0.074462890625,0.1943359375,0.728515625,0.14791680036445579,0.9352499442607628
[ 0.99909615+0.j         -0.00179099+0.04246981j],-0.084,0.068,0.714,0.11344556863946853,0.9266852337734974
[ 0.73717727+0.j         -0.29248374+0.60911652j],-0.502,0.372,-0.024,0.5008696781913748,0.8799051477909526
[0.44505978+0.j         0.75701088+0.47838929j],0.318,0.42,-0.41,0.28458968557922454,0.9057316959030306
[0.87358891+0.j         0.03464551+0.48542982j],-0.284,0.508,0.328,0.4999569577008117,0.8905873017565281
[ 0.73211998+0.j         -0.08086237+0.67635908j],-0.338,0.55,-0.022,0.44462418138788457,0.8896992363550832
[0.76294138+0.j         0.63264339+0.13297665j],0.542,0.448,0.01,0.5041563038356764,0.898820871257171
[ 0.98186505+0.j         -0.03178568+0.18689754j],-0.182,0.234,0.662,0.19457990535504063,0.9251097438864341
[0.95156405+0.j         0.30691298-0.01817356j],0.432,0.154,0.564,0.2497771533563031,0.9231406760504425
[ 0.64555302+0.j         -0.50796397+0.57029282j],-0.554,0.2,-0.15,0.49246080905956946,0.8762342364783982
[0.26022333+0.j         0.90016625+0.34926285j],0.28,0.328,-0.622,0.2744228999139037,0.9296664175937838
[ 0.04683003+0.j         -0.97933311-0.19675773j],-0.05,0.014,-0.746,0.04474878928108083,0.9346272492004107
[ 9.80265092e-01+0.j         -7.67249637e-04-0.19768601j],0.066,-0.37,0.642,0.15396319704330552,0.9314296084094206
[ 0.95589438+0.j         -0.00978663-0.29354752j],0.096,-0.444,0.49,0.21465264834785383,0.9090754688150847
[0.32139063+0.j         0.94394292+0.07536466j],0.404,0.236,-0.546,0.28636779922509287,0.919174703982668
[ 0.89937016+0.j         -0.25241944+0.35695621j],-0.5,0.12,0.308,0.6010803721124856,0.8643867697467368
[0.47933174+0.j         0.78868858+0.38498234j],0.334,0.434,-0.432,0.38600883215019616,0.9072477799480131
[ 0.55589078+0.j         -0.18603362-0.81017093j],0.072,-0.518,-0.322,0.3604956634014446,0.8873225736249325
[0.95843408+0.j         0.2472539 +0.14237144j],0.24,0.406,0.516,0.3505944727292708,0.9100934166841871
[ 0.6825808 +0.j         -0.21658354+0.69797924j],-0.438,0.396,-0.124,0.5470976054775853,0.8704272493084345
[ 0.84996328+0.j         -0.01626566-0.52659078j],0.138,-0.594,0.248,0.2476055851154441,0.9050529479494858
[0.70008756+0.j         0.06253194-0.71131369j],0.304,-0.562,-0.08,0.42017694984794296,0.891046835356561
[ 0.77210323+0.j        -0.55057782+0.3173652j],-0.662,0.008,0.062,0.5150556779877078,0.8884477065340792
[ 0.85196092+0.j         -0.22568419-0.47247142j],-0.048,-0.528,0.28,0.31540911034575453,0.8860011193008502
[ 0.95598073+0.j        -0.05790286-0.2876597j],0.132,-0.438,0.556,0.30607382167049224,0.918297306557494
[0.8638634 +0.j         0.50249547+0.03518992j],0.52,0.31,0.274,0.4255364570847745,0.8958931193526026
[ 0.82205614+0.j        -0.24754584+0.5127814j],-0.574,0.326,0.1,0.6194145578775062,0.8785243907414095
[0.3422557 +0.j        0.76313948+0.5481598j],0.206,0.324,-0.598,0.25822379604091555,0.9184452644490286
[0.91571537+0.j         0.22676945+0.33172425j],0.088,0.474,0.308,0.3715373930712793,0.8755152920510885
[0.49514036+0.j         0.45858481+0.73792682j],0.104,0.452,-0.39,0.31429374164191864,0.8877788312038423
[0.46463015+0.j         0.36549126-0.80655748j],0.398,-0.392,-0.448,0.3025778414247039,0.917483112512469
[0.99758972+0.j         0.02171503-0.06590295j],0.02,-0.15,0.722,0.07458732214100201,0.9315678325139938
[ 0.88075016+0.j         -0.38005827-0.28255063j],-0.256,-0.496,0.294,0.40279396459863487,0.8889247863542259
[ 0.07497268+0.j         -0.93785487+0.33883232j],-0.01,0.054,-0.738,0.12940070335171805,0.9310889753838214
[0.43936976+0.j         0.79617509-0.41600413j],0.504,-0.072,-0.502,0.2801236871098125,0.9184541578721164
[0.72148335+0.j         0.1581168 -0.67413711j],0.408,-0.51,0.018,0.44429509656924504,0.8916091706298721
[ 0.86880645+0.j         -0.48592178+0.09515972j],-0.562,-0.218,0.272,0.5102141070747627,0.888003222443724
[0.02236856+0.j         0.75284528-0.65781733j],0.05,-0.056,-0.768,0.05332976814509611,0.9408941176143423
[0.50646196+0.j         0.85282652-0.12721325j],0.544,0.162,-0.406,0.3850109441259982,0.9074077399893856
[0.28327238+0.j         0.94111692+0.18454186j],0.296,0.246,-0.504,0.29554345026702483,0.8962859845765893
[ 0.1542862+0.j         -0.7860778-0.59856283j],-0.074,-0.106,-0.694,0.14541109793595805,0.9215442218896861
[0.99278167+0.j        0.06629793-0.0999457j],0.186,-0.082,0.732,0.1452638390347729,0.9358682038805682
[0.04671676+0.j         0.96752324+0.24842769j],0.152,0.168,-0.532,0.32846857986564293,0.8795788932594211
[0.59693046+0.j         0.31304609+0.73869897j],-0.028,0.598,-0.174,0.4290883185050682,0.8851306442456675
[0.10943566+0.j         0.52098964+0.84651854j],0.116,0.244,-0.594,0.2100822743764199,0.9050435758806421
[ 0.23134501+0.j        -0.96465554+0.1261712j],-0.218,-0.034,-0.704,0.19375247713459584,0.9284286764154356
[ 0.97539937+0.j        -0.0850669 -0.2033708j],0.002,-0.304,0.634,0.1727293755837127,0.9199608391929319
[ 0.44002615+0.j         -0.86806992+0.22985127j],-0.488,-0.012,-0.464,0.23677044687851445,0.9095868761997581
[0.66045186+0.j         0.20405474+0.72260985j],-0.118,0.65,-0.134,0.45425519211539456,0.8960239111363671
[ 0.96023866+0.j         -0.2697041 +0.07212081j],-0.468,-0.122,0.556,0.3395669150387301,0.9205532579486986
[0.99892864+0.j         0.00687452+0.04576363j],-0.072,0.216,0.702,0.23478172697764063,0.9267559210581342
